block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
b_401762,0,33_merged_3142126,0,0,33 NORTH NEIGHBORHOOD,43714,9_merged_3142149,3128695,
b_401762,0,33_merged_3142126,0,0,33 NORTH NEIGHBORHOOD,43714,9_merged_3142149,3128696,
b_401762,0,33_merged_3142126,0,0,33 NORTH NEIGHBORHOOD,43714,9_merged_3142149,3128697,
b_400783,0,03,0,0,3 WILLOW - LANSING MALL,43628,5_merged_3142147,3111844,
b_401307,0,31,0,1,31 BRODY COMPLEX -  VIA GRAND RIVER,43708,16_merged_3142144,3121633,
b_401753,0,30,0,1,30 SOUTH CAMPUS - WILSON HALLS,43706,5_merged_3142147,3128342,
b_401751,0,30,0,1,30 SOUTH CAMPUS - WILSON HALLS,43706,5_merged_3142147,3128343,
b_401753,0,30,0,1,30 SOUTH CAMPUS - WILSON HALLS,43706,5_merged_3142147,3128340,
b_401751,0,30,0,1,30 SOUTH CAMPUS - WILSON HALLS,43706,5_merged_3142147,3128341,
b_401754,0,30,0,1,30 SOUTH CAMPUS - WILSON HALLS,43706,5_merged_3142147,3128346,
b_401753,0,30,0,1,30 SOUTH CAMPUS - WILSON HALLS,43706,5_merged_3142147,3128347,
b_401754,0,30,0,1,30 SOUTH CAMPUS - WILSON HALLS,43706,5_merged_3142147,3128344,
b_401752,0,30,0,1,30 SOUTH CAMPUS - WILSON HALLS,43706,5_merged_3142147,3128345,
b_401751,0,30,0,1,30 SOUTH CAMPUS - WILSON HALLS,43706,5_merged_3142147,3128348,
b_401752,0,30,0,1,30 SOUTH CAMPUS - WILSON HALLS,43706,5_merged_3142147,3128349,
b_401225,0,25,0,0,25 NORTH HARRISON/ABBOT,43698,16_merged_3142144,3118716,
b_401224,0,25,0,0,25 NORTH HARRISON/ABBOT,43698,16_merged_3142144,3118717,
b_401225,0,25,0,0,25 NORTH HARRISON/ABBOT,43698,16_merged_3142144,3118714,
b_401224,0,25,0,0,25 NORTH HARRISON/ABBOT,43698,16_merged_3142144,3118715,
b_401225,0,25,0,0,25 NORTH HARRISON/ABBOT,43698,16_merged_3142144,3118712,
b_401224,0,25,0,0,25 NORTH HARRISON/ABBOT,43698,16_merged_3142144,3118713,
b_401199,0,25,0,0,25 NORTH HARRISON/ABBOT,43698,16_merged_3142144,3118710,
b_401224,0,25,0,0,25 NORTH HARRISON/ABBOT,43698,16_merged_3142144,3118711,
b_401225,0,25,0,0,25 NORTH HARRISON/ABBOT,43698,16_merged_3142144,3118718,
b_401224,0,25,0,0,25 NORTH HARRISON/ABBOT,43698,16_merged_3142144,3118719,
b_401365,0,35,0,0,35 WILSON/HOLDEN - SPARTAN VILLAGE,43720,4_merged_3142148,3124449,
b_401365,0,35,0,0,35 WILSON/HOLDEN - SPARTAN VILLAGE,43719,4_merged_3142148,3124448,
b_401362,0,35,0,0,35 WILSON/HOLDEN - SPARTAN VILLAGE,43721,3_merged_3142146,3124441,
b_401363,0,35,0,0,35 WILSON/HOLDEN - SPARTAN VILLAGE,43721,3_merged_3142146,3124440,
